읍면동,분양면적,총세대수,세대수,매매평균 ㎡당가(만원),노후도,역세권점수,전세평균 ㎡당가(만원),토지면적(km2),문화시설수,쇼핑시설수,스타벅스,,metro,culture,shop
계산동,92.56,299,31,209,26.08,2,182,4.55,5,91,1,,0.43956044,1.098901099,20
계산동,95.86,299,22,203,26.08,2,178,4.55,5,91,1,,0.43956044,1.098901099,20
계산동,112.39,299,28,200,26.08,2,178,4.55,5,91,1,,0.43956044,1.098901099,20
계산동,109.63,137,69,251,15.05,2,172,4.55,5,91,1,,0.43956044,1.098901099,20
계산동,119.44,137,10,237,15.05,2,167,4.55,5,91,1,,0.43956044,1.098901099,20
계산동,82.18,137,48,231,15.05,2,182,4.55,5,91,1,,0.43956044,1.098901099,20
계산동,50.76,137,10,192,15.05,2,176,4.55,5,91,1,,0.43956044,1.098901099,20
계산동,59.5,408,36,208,28.05,2,167,4.55,5,91,1,,0.43956044,1.098901099,20
계산동,69.42,408,72,202,28.05,2,170,4.55,5,91,1,,0.43956044,1.098901099,20
계산동,52.89,408,119,199,28.05,2,170,4.55,5,91,1,,0.43956044,1.098901099,20
계산동,52.89A,408,1,199,28.05,2,166,4.55,5,91,1,,0.43956044,1.098901099,20
계산동,56.19,408,180,196,28.05,2,160,4.55,5,91,1,,0.43956044,1.098901099,20
계산동,56.19,432,168,231,28,2,160,4.55,5,91,1,,0.43956044,1.098901099,20
계산동,69.42,432,168,223,28,2,169,4.55,5,91,1,,0.43956044,1.098901099,20
계산동,76.03,432,48,201,28,2,166,4.55,5,91,1,,0.43956044,1.098901099,20
계산동,72.72,432,48,199,28,2,158,4.55,5,91,1,,0.43956044,1.098901099,20
계산동,56.19,504,12,214,29.03,2,151,4.55,5,91,1,,0.43956044,1.098901099,20
계산동,69.42,504,36,207,29.03,2,147,4.55,5,91,1,,0.43956044,1.098901099,20
계산동,76.03,504,36,204,29.03,2,137,4.55,5,91,1,,0.43956044,1.098901099,20
계산동,62.81,504,150,201,29.03,2,131,4.55,5,91,1,,0.43956044,1.098901099,20
계산동,66.11,994,108,257,30.05,2,185,4.55,5,91,1,,0.43956044,1.098901099,20
계산동,59.5,994,48,252,30.05,2,176,4.55,5,91,1,,0.43956044,1.098901099,20
계산동,52.89,994,288,251,30.05,2,169,4.55,5,91,1,,0.43956044,1.098901099,20
계산동,56.19,994,550,245,30.05,2,161,4.55,5,91,1,,0.43956044,1.098901099,20
계산동,105.78,416,416,265,27.07,2,227,4.55,5,91,1,,0.43956044,1.098901099,20
계산동,82.64,151,79,218,22,2,177,4.55,5,91,1,,0.43956044,1.098901099,20
계산동,56.19,151,12,209,22,2,170,4.55,5,91,1,,0.43956044,1.098901099,20
계산동,95.86,151,15,206,22,2,163,4.55,5,91,1,,0.43956044,1.098901099,20
계산동,105.78,151,45,203,22,2,160,4.55,5,91,1,,0.43956044,1.098901099,20
계산동,89.25,"1,248",306,275,26.1,2,217,4.55,5,91,1,,0.43956044,1.098901099,20
계산동,105.78,"1,248",806,255,26.1,2,213,4.55,5,91,1,,0.43956044,1.098901099,20
계산동,165.29,"1,248",136,213,26.1,2,145,4.55,5,91,1,,0.43956044,1.098901099,20
작전동,99.17,480,180,217,28.01,1,188,1.8,3,39,1,,0.555555556,1.666666667,21.66666667
작전동,102.47,480,150,215,28.01,1,187,1.8,3,39,1,,0.555555556,1.666666667,21.66666667
작전동,92.56,480,30,211,28.01,1,181,1.8,3,39,1,,0.555555556,1.666666667,21.66666667
작전동,82.64,480,90,200,28.01,1,178,1.8,3,39,1,,0.555555556,1.666666667,21.66666667
작전동,105.78,480,30,199,28.01,1,175,1.8,3,39,1,,0.555555556,1.666666667,21.66666667
작전동,59.5,288,108,205,29,1,147,1.8,3,39,1,,0.555555556,1.666666667,21.66666667
작전동,72.72,288,84,203,29,1,145,1.8,3,39,1,,0.555555556,1.666666667,21.66666667
작전동,76.03,288,72,197,29,1,143,1.8,3,39,1,,0.555555556,1.666666667,21.66666667
작전동,79.33,288,24,190,29,1,135,1.8,3,39,1,,0.555555556,1.666666667,21.66666667
