구시군,읍면동,아파트명,평균매매가 제곱미터당(만원),분양면적,단지세대수,개별세대수,노후도,역세권점수,전세평균제곱미터당(만원),토지면적.km2.,문화시설수,쇼핑시설수,스타벅스,평균 인구수,평균 세대수,교육시설 수,개발호재유무,혼인건수3년평균
계양구,효성동,현대3차,234,109.09,374,266,26.01,0,183,4.99,2,36,0,62311,23066,10,0,132
계양구,효성동,현대3차,232,92.56,374,72,26.01,0,178,4.99,2,36,0,62311,23066,10,0,132
계양구,효성동,현대4차,270,76.03,919,375,23,0,227,4.99,2,36,0,62311,23066,10,0,132
계양구,효성동,현대4차,266,109.09,919,394,23,0,217,4.99,2,36,0,62311,23066,10,0,132
계양구,효성동,현대4차,252,109.09,919,25,23,0,206,4.99,2,36,0,62311,23066,10,0,132
계양구,효성동,현대4차,243,76.03,919,25,23,0,206,4.99,2,36,0,62311,23066,10,0,132
계양구,효성동,현대4차,200,175.2,919,100,23,0,137,4.99,2,36,0,62311,23066,10,0,132
계양구,계양동,박촌역한양수자인,309,80.09,376,85,7,3,234,30.45,4,63,0,88417,33845,13,0,132
계양구,계양동,박촌역한양수자인,286,113.69,376,133,7,3,194,30.45,4,63,0,88417,33845,13,0,132
계양구,계양동,박촌역한양수자인,285,114.01,376,103,7,3,193,30.45,4,63,0,88417,33845,13,0,132
계양구,계양동,박촌역한양수자인,259,159.95,376,55,7,3,156,30.45,4,63,0,88417,33845,13,0,132
계양구,계양동,아주,191,69.42,480,204,27.08,3,145,30.45,4,63,0,88417,33845,13,0,132
계양구,계양동,아주,189,79.33,480,36,27.08,3,140,30.45,4,63,0,88417,33845,13,0,132
계양구,계양동,아주,182,72.72,480,240,27.08,3,134,30.45,4,63,0,88417,33845,13,0,132
계양구,계양동,풍림아이원,310,82.33,207,16,13.01,3,267,30.45,4,63,0,88417,33845,13,0,132
계양구,계양동,풍림아이원,263,106.44,207,191,13.01,3,235,30.45,4,63,0,88417,33845,13,0,132
계양구,계양동,한화꿈에그린,321,82.64,670,140,13.01,3,284,30.45,4,63,0,88417,33845,13,0,132
계양구,계양동,한화꿈에그린,293,105.78,670,530,13.01,3,251,30.45,4,63,0,88417,33845,13,0,132
계양구,계양동,계양벽산블루밍,265,113.22,138,86,9.02,3,208,30.45,4,63,0,88417,33845,13,0,132
계양구,계양동,계양벽산블루밍,257,116.56,138,12,9.02,3,202,30.45,4,63,0,88417,33845,13,0,132
계양구,계양동,계양벽산블루밍,258,137.37,138,39,9.02,3,178,30.45,4,63,0,88417,33845,13,0,132
계양구,계양동,계양벽산블루밍,257,138.31,138,1,9.02,3,177,30.45,4,63,0,88417,33845,13,0,132
계양구,계양동,신동아,260,76.03,1192,536,21.09,3,217,30.45,4,63,0,88417,33845,13,0,132
계양구,계양동,신동아,215,105.78,1192,560,21.09,3,187,30.45,4,63,0,88417,33845,13,0,132
계양구,계양동,신동아,199,135.53,1192,96,21.09,3,155,30.45,4,63,0,88417,33845,13,0,132
계양구,계양동,동양우남푸르미아,305,109.74,158,74,7,3,241,30.45,4,63,0,88417,33845,13,0,132
계양구,계양동,동양우남푸르미아,304,110.3,158,42,7,3,240,30.45,4,63,0,88417,33845,13,0,132
계양구,계양동,동양우남푸르미아,304,110.36,158,42,7,3,240,30.45,4,63,0,88417,33845,13,0,132
계양구,계양동,동양지구휴먼빌,276,110.64,466,317,11.02,3,235,30.45,4,63,0,88417,33845,13,0,132
계양구,계양동,동양지구휴먼빌,252,142.86,466,149,11.02,3,206,30.45,4,63,0,88417,33845,13,0,132
계양구,계양동,한진해모로,348,78.99,478,478,12.05,3,269,30.45,4,63,0,88417,33845,13,0,132
계양구,작전서운동,경남아너스빌,309,130.93,255,180,11.03,0,225,3.79,4,23,0,33228,12215,5,0,132
계양구,작전서운동,경남아너스빌,292,162.91,255,75,11.03,0,206,3.79,4,23,0,33228,12215,5,0,132
계양구,작전서운동,임광그대家,329,112.62,355,92,9.02,0,258,3.79,4,23,0,33228,12215,5,0,132
계양구,작전서운동,임광그대家,328,112.79,355,45,9.02,0,257,3.79,4,23,0,33228,12215,5,0,132
계양구,작전서운동,임광그대家,328,112.79,355,26,9.02,0,257,3.79,4,23,0,33228,12215,5,0,132
계양구,작전서운동,임광그대家,283,144.84,355,97,9.02,0,221,3.79,4,23,0,33228,12215,5,0,132
계양구,작전서운동,임광그대家,283,144.86,355,95,9.02,0,221,3.79,4,23,0,33228,12215,5,0,132
계양구,계산동,계산주공,299,69.42,1140,270,27.08,2,246,4.55,5,91,1,84796,34699,17,0,132
계양구,계산동,계산주공,289,56.19,1140,270,27.08,2,246,4.55,5,91,1,84796,34699,17,0,132
계양구,계산동,계산주공,288,52.89,1140,1,27.08,2,246,4.55,5,91,1,84796,34699,17,0,132
계양구,계산동,계산주공,288,52.89,1140,60,27.08,2,245,4.55,5,91,1,84796,34699,17,0,132
계양구,계산동,계산주공,288,52.89,1140,299,27.08,2,236,4.55,5,91,1,84796,34699,17,0,132
계양구,계산동,계산주공,285,72.72,1140,180,27.08,2,234,4.55,5,91,1,84796,34699,17,0,132
계양구,계산동,계산주공,273,59.5,1140,60,27.08,2,227,4.55,5,91,1,84796,34699,17,0,132
계양구,계산동,극동,272,99.17,629,30,33.05,2,163,4.55,5,91,1,84796,34699,17,0,132
계양구,계산동,극동,247,62.81,629,240,33.05,2,146,4.55,5,91,1,84796,34699,17,0,132
계양구,계산동,극동,244,85.95,629,160,33.05,2,143,4.55,5,91,1,84796,34699,17,0,132
계양구,계산동,극동,241,69.42,629,139,33.05,2,133,4.55,5,91,1,84796,34699,17,0,132
계양구,계산동,극동,232,49.58,629,60,33.05,2,126,4.55,5,91,1,84796,34699,17,0,132
계양구,계산동,기산,221,92.56,142,66,22.05,2,175,4.55,5,91,1,84796,34699,17,0,132
계양구,계산동,기산,221,82.64,142,76,22.05,2,173,4.55,5,91,1,84796,34699,17,0,132
계양구,계산동,뉴서울,227,79.33,92,23,25,2,186,4.55,5,91,1,84796,34699,17,0,132
계양구,계산동,뉴서울,216,69.42,92,46,25,2,175,4.55,5,91,1,84796,34699,17,0,132
계양구,계산동,뉴서울,203,95.86,92,23,25,2,166,4.55,5,91,1,84796,34699,17,0,132
계양구,계산동,동남(55-1),213,56.19,336,84,28.05,2,160,4.55,5,91,1,84796,34699,17,0,132
계양구,계산동,동남(55-1),208,79.33,336,60,28.05,2,158,4.55,5,91,1,84796,34699,17,0,132
계양구,계산동,동남(55-1),203,72.72,336,48,28.05,2,151,4.55,5,91,1,84796,34699,17,0,132
계양구,계산동,동남(55-1),202,69.42,336,144,28.05,2,144,4.55,5,91,1,84796,34699,17,0,132
계양구,계산동,"삼보1,2차",220,72.72,474,36,31.02,2,120,4.55,5,91,1,84796,34699,17,0,132
계양구,계산동,"삼보1,2차",218,56.19,474,360,31.02,2,167,4.55,5,91,1,84796,34699,17,0,132
계양구,계산동,"삼보1,2차",215,62.81,474,72,31.02,2,160,4.55,5,91,1,84796,34699,17,0,132
계양구,계산동,삼보3차,214,56.19,366,60,30.01,2,158,4.55,5,91,1,84796,34699,17,0,132
계양구,계산동,삼보3차,212,66.11,366,180,30.01,2,143,4.55,5,91,1,84796,34699,17,0,132
계양구,계산동,삼보3차,205,79.33,366,6,30.01,2,167,4.55,5,91,1,84796,34699,17,0,132
계양구,계산동,삼보3차,204,76.03,366,120,30.01,2,166,4.55,5,91,1,84796,34699,17,0,132
계양구,계산동,삼천리,234,66.11,460,30,32.06,2,164,4.55,5,91,1,84796,34699,17,0,132
계양구,계산동,삼천리,231,62.81,460,100,32.06,2,160,4.55,5,91,1,84796,34699,17,0,132
계양구,계산동,삼천리,223,59.5,460,80,32.06,2,136,4.55,5,91,1,84796,34699,17,0,132
계양구,계산동,삼천리,209,56.19,460,80,32.06,2,135,4.55,5,91,1,84796,34699,17,0,132
계양구,계산동,삼천리,205,49.58,460,90,32.06,2,126,4.55,5,91,1,84796,34699,17,0,132
계양구,계산동,삼천리,203,52.89,460,80,32.06,2,120,4.55,5,91,1,84796,34699,17,0,132
계양구,계산동,삼환1차,246,79.33,276,84,29,2,174,4.55,5,91,1,84796,34699,17,0,132
계양구,계산동,삼환1차,238,69.42,276,84,29,2,173,4.55,5,91,1,84796,34699,17,0,132
계양구,계산동,삼환1차,235,89.25,276,108,29,2,170,4.55,5,91,1,84796,34699,17,0,132
계양구,계산동,삼환2차,243,79.33,144,2,29,2,176,4.55,5,91,1,84796,34699,17,0,132
계양구,계산동,삼환2차,243,79.33,144,40,29,2,176,4.55,5,91,1,84796,34699,17,0,132
계양구,계산동,삼환2차,241,89.25,144,60,29,2,174,4.55,5,91,1,84796,34699,17,0,132
계양구,계산동,삼환2차,223,69.42,144,42,29,2,166,4.55,5,91,1,84796,34699,17,0,132
계양구,계산동,서해3차,202,79.33,498,252,27.04,2,164,4.55,5,91,1,84796,34699,17,0,132
계양구,계산동,서해3차,197,76.03,498,204,27.04,2,158,4.55,5,91,1,84796,34699,17,0,132
계양구,계산동,세경,205,69.42,80,80,34.06,2,156,4.55,5,91,1,84796,34699,17,0,132
계양구,계산동,신도브래뉴,302,115.84,481,40,13.07,2,151,4.55,5,91,1,84796,34699,17,0,132
계양구,계산동,신도브래뉴,298,79.63,481,234,13.07,2,151,4.55,5,91,1,84796,34699,17,0,132
계양구,계산동,신도브래뉴,280,105.49,481,207,13.07,2,251,4.55,5,91,1,84796,34699,17,0,132
계양구,계산동,영남,206,72.72,360,60,28,2,229,4.55,5,91,1,84796,34699,17,0,132
계양구,계산동,영남,206,69.42,360,180,28,2,218,4.55,5,91,1,84796,34699,17,0,132
계양구,계산동,영남,200,66.11,360,60,28,2,160,4.55,5,91,1,84796,34699,17,0,132
계양구,계산동,영남,193,59.5,360,60,28,2,154,4.55,5,91,1,84796,34699,17,0,132
계양구,계산동,원흥,208,66.11,170,128,26.07,2,151,4.55,5,91,1,84796,34699,17,0,132
계양구,계산동,원흥,206,59.5,170,36,26.07,2,122,4.55,5,91,1,84796,34699,17,0,132
계양구,계산동,원흥,194,76.03,170,6,26.07,2,170,4.55,5,91,1,84796,34699,17,0,132
계양구,계산동,은행강북,264,128.92,216,216,21.05,2,161,4.55,5,91,1,84796,34699,17,0,132
계양구,계산동,은행삼보,303,112.39,436,260,20.04,2,160,4.55,5,91,1,84796,34699,17,0,132
계양구,계산동,은행삼보,283,125.62,436,88,20.04,2,217,4.55,5,91,1,84796,34699,17,0,132
계양구,계산동,은행삼보,257,142.14,436,88,20.04,2,245,4.55,5,91,1,84796,34699,17,0,132
계양구,계산동,은행아주,321,79.33,612,144,21.05,2,227,4.55,5,91,1,84796,34699,17,0,132
계양구,계산동,은행아주,311,81.98,612,22,21.05,2,201,4.55,5,91,1,84796,34699,17,0,132
계양구,계산동,은행아주,303,95.86,612,446,21.05,2,265,4.55,5,91,1,84796,34699,17,0,132
계양구,계산동,은행태산,271,125.62,544,544,21.04,2,261,4.55,5,91,1,84796,34699,17,0,132
계양구,계산동,은행태평,300,89.25,574,460,21.06,2,256,4.55,5,91,1,84796,34699,17,0,132
계양구,계산동,은행태평,293,105.78,574,114,21.06,2,227,4.55,5,91,1,84796,34699,17,0,132
계양구,계산동,인정프린스,232,105.78,299,72,26.08,2,272,4.55,5,91,1,84796,34699,17,0,132
계양구,계산동,인정프린스,227,82.64,299,22,26.08,2,251,4.55,5,91,1,84796,34699,17,0,132
계양구,계산동,인정프린스,224,99.17,299,61,26.08,2,194,4.55,5,91,1,84796,34699,17,0,132
계양구,계산동,인정프린스,213,128.92,299,63,26.08,2,194,4.55,5,91,1,84796,34699,17,0,132
계양구,계산동,인정프린스,209,92.56,299,31,26.08,2,182,4.55,5,91,1,84796,34699,17,0,132
계양구,계산동,인정프린스,203,95.86,299,22,26.08,2,178,4.55,5,91,1,84796,34699,17,0,132
계양구,계산동,인정프린스,200,112.39,299,28,26.08,2,178,4.55,5,91,1,84796,34699,17,0,132
계양구,계산동,지산그라띠아,251,109.63,137,69,15.05,2,172,4.55,5,91,1,84796,34699,17,0,132
계양구,계산동,지산그라띠아,237,119.44,137,10,15.05,2,167,4.55,5,91,1,84796,34699,17,0,132
계양구,계산동,지산그라띠아,231,82.18,137,48,15.05,2,182,4.55,5,91,1,84796,34699,17,0,132
