구시군,읍면동,아파트명,분양면적,단지세대수,개별세대수,평균매매가.제곱미터당.만원.,노후도,역세권점수,전세평균..당가.만원.,토지면적.km2.,문화시설수,쇼핑시설수,스타벅스,X3년.평균.인구수,X3년.평균.세대수,초중고현황,개발호재유무,혼인건수3년평균
계양구,계산동,삼보3차,66.11,366,180,212,30.01,2,143,4.55,5,91,1,84796,34699,17,0,132
계양구,계산동,삼보3차,79.33,366,6,205,30.01,2,167,4.55,5,91,1,84796,34699,17,0,132
계양구,계산동,삼보3차,76.03,366,120,204,30.01,2,166,4.55,5,91,1,84796,34699,17,0,132
계양구,계산동,삼천리,66.11,460,30,234,32.06,2,164,4.55,5,91,1,84796,34699,17,0,132
계양구,계산동,삼천리,62.81,460,100,231,32.06,2,160,4.55,5,91,1,84796,34699,17,0,132
계양구,계산동,삼천리,59.5,460,80,223,32.06,2,136,4.55,5,91,1,84796,34699,17,0,132
계양구,계산동,삼천리,56.19,460,80,209,32.06,2,135,4.55,5,91,1,84796,34699,17,0,132
계양구,계산동,삼천리,49.58,460,90,205,32.06,2,126,4.55,5,91,1,84796,34699,17,0,132
계양구,계산동,삼천리,52.89,460,80,203,32.06,2,120,4.55,5,91,1,84796,34699,17,0,132
계양구,계산동,삼환1차,79.33,276,84,246,29,2,174,4.55,5,91,1,84796,34699,17,0,132
계양구,계산동,삼환1차,69.42,276,84,238,29,2,173,4.55,5,91,1,84796,34699,17,0,132
계양구,계산동,삼환1차,89.25,276,108,235,29,2,170,4.55,5,91,1,84796,34699,17,0,132
계양구,계산동,삼환2차,79.33,144,2,243,29,2,176,4.55,5,91,1,84796,34699,17,0,132
계양구,계산동,삼환2차,79.33,144,40,243,29,2,176,4.55,5,91,1,84796,34699,17,0,132
계양구,계산동,삼환2차,89.25,144,60,241,29,2,174,4.55,5,91,1,84796,34699,17,0,132
계양구,계산동,삼환2차,69.42,144,42,223,29,2,166,4.55,5,91,1,84796,34699,17,0,132
계양구,계산동,서해3차,79.33,498,252,202,27.04,2,164,4.55,5,91,1,84796,34699,17,0,132
계양구,계산동,서해3차,76.03,498,204,197,27.04,2,158,4.55,5,91,1,84796,34699,17,0,132
계양구,계산동,세경,69.42,80,80,205,34.06,2,156,4.55,5,91,1,84796,34699,17,0,132
계양구,계산동,신도브래뉴,115.84,481,40,302,13.07,2,151,4.55,5,91,1,84796,34699,17,0,132
계양구,계산동,신도브래뉴,79.63,481,234,298,13.07,2,151,4.55,5,91,1,84796,34699,17,0,132
계양구,계산동,신도브래뉴,105.49,481,207,280,13.07,2,251,4.55,5,91,1,84796,34699,17,0,132
계양구,계산동,영남,72.72,360,60,206,28,2,229,4.55,5,91,1,84796,34699,17,0,132
계양구,계산동,영남,69.42,360,180,206,28,2,218,4.55,5,91,1,84796,34699,17,0,132
